,location,url,name,biz_id,address,category,star_rating
62,CHILE,https://www.yelp.com/biz/galindo-santiago?osq=food,Galindo,galindo-santiago,Dardignac 98,"['Chilean', 'Bars']",4.0
63,CHILE,https://www.yelp.com/biz/barrica-94-santiago?osq=food,Barrica 94,barrica-94-santiago,Bellavista 052,"['Wine Bars', 'Chilean', 'Cocktail Bars']",4.5
64,CHILE,https://www.yelp.com/biz/in-pasta-santiago?osq=food,In Pasta,in-pasta-santiago,Sta. Isabel 0395,['Italian'],5.0
65,CHILE,https://www.yelp.com/biz/sheng-xing-santiago?osq=food,Sheng Xing,sheng-xing-santiago,España 101-107,['Dim Sum'],4.0
66,CHILE,https://www.yelp.com/biz/biwon-santiago?osq=food,Biwon,biwon-santiago,Coronel 2376,['Korean'],5.0
67,CHILE,https://www.yelp.com/biz/lucky-panda-santiago?osq=food,Lucky Panda,lucky-panda-santiago,Arturo Prat 16,"['Fast Food', 'Chinese']",4.0
68,CHILE,https://www.yelp.com/biz/vegan-bunker-santiago-2?osq=food,Vegan Bunker,vegan-bunker-santiago-2,Fresia 529,"['Vegetarian', 'Vegan']",4.5
69,CHILE,https://www.yelp.com/biz/empanadas-tinita-santiago?osq=food,Empanadas Tinita,empanadas-tinita-santiago,Antonio Bellet 58,"['Bakeries', 'Empanadas']",4.5
70,CZECH REPUBLIC,https://www.yelp.com/biz/mlejnice-praha?osq=food,Mlejnice,mlejnice-praha,Kožná 488/14,"['Czech', 'Barbeque']",4.0
71,CZECH REPUBLIC,https://www.yelp.com/biz/pivovar-u-t%C5%99%C3%AD-r%C5%AF%C5%BE%C3%AD-praha?osq=food,Pivovar U Tří růží,pivovar-u-t%C5%99%C3%AD-r%C5%AF%C5%BE%C3%AD-praha,Husova 10,"['Czech', 'Brewpubs']",4.5
72,CZECH REPUBLIC,https://www.yelp.com/biz/meat-a-greet-praha?osq=food,Meat & Greet,meat-a-greet-praha,Senovážné náměstí 994/2,"['Burgers', 'Czech']",4.5
73,CZECH REPUBLIC,https://www.yelp.com/biz/den-noc-praha?osq=food,Den Noc,den-noc-praha,Templová 7,"['Bistros', 'Coffee & Tea', 'Pancakes']",4.5
74,CZECH REPUBLIC,https://www.yelp.com/biz/caf%C3%A9-savoy-praha?osq=food,Café Savoy,caf%C3%A9-savoy-praha,Vítězná 124/5,"['Cafes', 'Breakfast & Brunch', 'Czech']",4.5
75,CZECH REPUBLIC,https://www.yelp.com/biz/lok%C3%A1l-dlouh%C3%A1%C3%A1%C3%A1-praha?osq=food,Lokál Dlouhááá,lok%C3%A1l-dlouh%C3%A1%C3%A1%C3%A1-praha,Dlouhá 33,['Czech'],4.0
76,CZECH REPUBLIC,https://www.yelp.com/biz/bibimbap-korea-praha-praha-3?osq=food,Bibimbap Korea Praha,bibimbap-korea-praha-praha-3,Chlumova 1,"['Korean', 'Specialty Food', 'Asian Fusion']",4.5
77,CZECH REPUBLIC,https://www.yelp.com/biz/burrito-loco-praha-4?osq=food,Burrito Loco,burrito-loco-praha-4,Masná 2,['Mexican'],4.0
78,CZECH REPUBLIC,https://www.yelp.com/biz/p%C3%A1rek-v-rohl%C3%ADku-praha?osq=food,Párek v rohlíku,p%C3%A1rek-v-rohl%C3%ADku-praha,Náměstí Míru,['Food Stands'],4.5
79,CZECH REPUBLIC,https://www.yelp.com/biz/restaurace-husinec-praha?osq=food,Restaurace Husinec,restaurace-husinec-praha,Mezibranská 13,"['Czech', 'Slovakian', 'Hungarian']",4.5
80,DENMARK,https://www.yelp.com/biz/anneberg-caf%C3%A9-og-restaurant-nyk%C3%B8bing-sj?osq=food,Anneberg Café & Restaurant,anneberg-caf%C3%A9-og-restaurant-nyk%C3%B8bing-sj,Annebjerg Stræde 2,['Restaurants'],5.0
81,DENMARK,https://www.yelp.com/biz/dim-sum-og-stick-frederikssund-2?osq=food,Dim Sum & Stick,dim-sum-og-stick-frederikssund-2,Havnegade 16,['Dim Sum'],5.0
82,DENMARK,https://www.yelp.com/biz/restaurant-gilleleje-havn-gilleleje?osq=food,Restaurant Gilleleje Havn,restaurant-gilleleje-havn-gilleleje,Havnevej 14,['Restaurants'],4.0
83,DENMARK,https://www.yelp.com/biz/odden-fisk-sjaellands-odde?osq=food,Odden Fisk,odden-fisk-sjaellands-odde,Vestre Havnevej 39,['Meat Shops'],5.0
84,DENMARK,https://www.yelp.com/biz/rib-house-hiller%C3%B8d-hiller%C3%B8d?osq=food,Rib-House Hillerød,rib-house-hiller%C3%B8d-hiller%C3%B8d,Slotsgade 52,['American (New)'],4.0
85,DENMARK,https://www.yelp.com/biz/galanga-hiller%C3%B8d?osq=food,Galanga,galanga-hiller%C3%B8d,Slotsgade 61,['Thai'],5.0
86,DENMARK,https://www.yelp.com/biz/restaurant-fyrkroen-gilleleje?osq=food,Restaurant Fyrkroen,restaurant-fyrkroen-gilleleje,Fyrvejen 29,['Restaurants'],4.5
87,DENMARK,https://www.yelp.com/biz/yousushi-aller%C3%B8d?osq=food,YouSushi,yousushi-aller%C3%B8d,Allerød Stationsvej 3,['Sushi Bars'],4.5
88,DENMARK,https://www.yelp.com/biz/haveje-gudmindrup-h%C3%B8jby?osq=food,Haveje Gudmindrup,haveje-gudmindrup-h%C3%B8jby,Gudmindrup Strandvej 59,"['Burgers', 'Ice Cream & Frozen Yogurt']",4.0
89,DENMARK,https://www.yelp.com/biz/rabarberg%C3%A5rden-vejby?osq=food,Rabarbergården,rabarberg%C3%A5rden-vejby,Holløse Gade 21,['Restaurants'],5.0
90,FINLAND,https://www.yelp.com/biz/da-mario-oulu?osq=food,Da Mario,da-mario-oulu,Torikatu 24,['Pizza'],5.0
91,FINLAND,https://www.yelp.com/biz/phuket-thai-take-away-oulu?osq=food,Phuket Thai Take Away,phuket-thai-take-away-oulu,Kauppurienkatu 4,['Thai'],4.0
92,FINLAND,https://www.yelp.com/biz/la-torrefazione-oulu?osq=food,La Torrefazione,la-torrefazione-oulu,Isokatu 25,"['Italian', 'Breakfast & Brunch', 'Coffee & Tea']",5.0
93,FINLAND,https://www.yelp.com/biz/ravintola-pannu-oulu-2?osq=food,Ravintola Pannu,ravintola-pannu-oulu-2,Kauppurienkatu 12,['Italian'],4.5
94,FINLAND,https://www.yelp.com/biz/da-max-oulu?osq=food,Da Max,da-max-oulu,Kauppurienkatu 5,"['Pizza', 'Burgers']",4.0
95,FINLAND,https://www.yelp.com/biz/kauppuri-5-oulu-3?osq=food,Kauppuri 5,kauppuri-5-oulu-3,Kauppurienkatu 5,"['Burgers', 'Beer, Wine & Spirits', 'American (Traditional)']",4.5
96,FINLAND,https://www.yelp.com/biz/ravintola-hella-oulu?osq=food,Ravintola Hella,ravintola-hella-oulu,Isokatu 13,['Modern European'],5.0
